1	"Fed official says weak data caused by weather, should not slow taper"	"http://www.latimes.com/business/money/la-fi-mo-federal-reserve-plosser-stimulus-economy-20140310,0,1312750.story\?track=rss"	Los Angeles Times	b
2	Fed's Charles Plosser sees high bar for change in pace of tapering	http://www.livemint.com/Politics/H2EvwJSK2VE6OF7iK1g3PP/Feds-Charles-Plosser-sees-high-bar-for-change-in-pace-of-ta.html	Livemint	b
3	US open: Stocks fall after Fed official hints at accelerated tapering	http://www.ifamagazine.com/news/us-open-stocks-fall-after-fed-official-hints-at-accelerated-tapering-294436	IFA Magazine	b
4	"Fed risks falling 'behind the curve', Charles Plosser says"	http://www.ifamagazine.com/news/fed-risks-falling-behind-the-curve-charles-plosser-says-294430	IFA Magazine	b
5	Fed's Plosser: Nasty Weather Has Curbed Job Growth	http://www.moneynews.com/Economy/federal-reserve-charles-plosser-weather-job-growth/2014/03/10/id/557011	Moneynews	b
6	Plosser: Fed May Have to Accelerate Tapering Pace	http://www.nasdaq.com/article/plosser-fed-may-have-to-accelerate-tapering-pace-20140310-00371	NASDAQ	b
7	Fed's Plosser: Taper pace may be too slow	http://www.marketwatch.com/story/feds-plosser-taper-pace-may-be-too-slow-2014-03-10\?reflink=MW_news_stmp	MarketWatch	b
8	Fed's Plosser expects US unemployment to fall to 6.2% by the end of 2014	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=23285020-b1b5-47ed-a8c4-96124bb91a39	FXstreet.com	b
9	US jobs growth last month hit by weather:Fed President Charles Plosser	http://economictimes.indiatimes.com/news/international/business/us-jobs-growth-last-month-hit-by-weatherfed-president-charles-plosser/articleshow/31788000.cms	Economic Times	b
10	ECB unlikely to end sterilisation of SMP purchases - traders	http://www.iii.co.uk/news-opinion/reuters/news/152615	Interactive Investor	b
11	ECB unlikely to end sterilization of SMP purchases: traders	http://in.reuters.com/article/2014/03/10/us-ecb-refi-poll-idINBREA290VH20140310	Reuters India	b
12	EU's half-baked bank union could work	http://blogs.reuters.com/hugo-dixon/2014/03/10/eus-half-baked-bank-union-could-work/	Reuters UK \(blog\)	b
13	Europe reaches crunch point on banking union	http://in.reuters.com/article/2014/03/10/eu-banks-resoluton-idINL6N0M71NJ20140310	Reuters	b
14	ECB FOCUS-Stronger euro drowns out ECB's message to keep rates low for  ...	http://in.reuters.com/article/2014/03/10/ecb-policy-idINL6N0M71K320140310	Reuters	b
15	EU aims for deal on tackling failing banks	http://main.omanobserver.om/\?p=63376	Oman Daily Observer	b
16	Forex - Pound drops to one-month lows against euro	http://www.nasdaq.com/article/forex-pound-drops-to-onemonth-lows-against-euro-cm333750	NASDAQ	b
17	Noyer Says Strong Euro Creates Unwarranted Economic Pressure	http://www.sfgate.com/business/bloomberg/article/Noyer-Says-Strong-Euro-Creates-Unwarranted-5303474.php	San Francisco Chronicle	b
